CCAA,Año,Indice_IPC,Precio_Vivienda_IPV,Renta_Media,Pob_Adulta,Pob_Joven,Pob_Senior,Ratio_Esfuerzo,Renta_Ajustada_IPC,Pct_Pob_Joven
Cantabria,2014,19.55,97.211,14137,219871.0,253533.0,115041.0,6.876352832991441,18958.080463050203,43.085250108336375
Cantabria,2015,19.34,100.0,15159,220094.0,247842.0,116998.0,6.596741209842338,20549.343373428397,42.37093415667408
Cantabria,2016,19.442,102.547,15484,220308.0,243000.0,118659.0,6.6227718935675535,20879.788239243302,41.75494486800798
Cantabria,2017,20.519,106.683,16199,219774.0,239864.0,120422.0,6.58577689980863,20697.40414147606,41.351584318863566
Cantabria,2018,20.919,112.938,16400,219606.0,237617.0,122746.0,6.886463414634147,20553.54764366818,40.970638085828725
Cantabria,2019,20.718,116.423,17742,219476.0,236381.0,124952.0,6.561999774546274,22451.1510661972,40.69857732920805
Cantabria,2020,20.051,117.829,18578,220069.0,235230.0,127338.0,6.342394229734094,24291.077940724834,40.37333708638483
Cantabria,2021,22.699,124.302,18659,221256.0,233110.0,129854.0,6.661771799131786,21550.90466772243,39.9010646674198
Cantabria,2022,26.032,136.343,19974,221933.0,230438.0,132713.0,6.826023830980274,20115.98837058842,39.38545576361685
Castilla-La Mancha,2008,19.622,149.222,13898,618664.0,1065383.0,358692.0,10.736940566988055,18569.18751777006,52.15463160002331
Castilla-La Mancha,2009,17.532,144.77,14712,637732.0,1081078.0,362114.0,9.84026644915715,22000.07291328938,51.951825246861496
Castilla-La Mancha,2010,19.082,143.137,15130,654596.0,1078305.0,365037.0,9.460475875743555,20787.339184351185,51.3983254033246
Castilla-La Mancha,2011,20.229,133.946,13720,672464.0,1073623.0,368787.0,9.762827988338193,17781.30219512893,50.765341103063356
Castilla-La Mancha,2012,20.318,118.443,13307,690394.0,1062087.0,368902.0,8.900804088073945,17170.504939877002,50.06578255788794
Castilla-La Mancha,2013,19.921,100.52,12673,698459.0,1033926.0,368064.0,7.9318235619032595,16678.31474323578,49.224046858552626
Castilla-La Mancha,2014,19.205,97.846,12824,703316.0,1003702.0,370995.0,7.629912663755459,17506.247484892912,48.30104527738758
Castilla-La Mancha,2015,19.037,100.0,12725,708350.0,976974.0,373208.0,7.858546168958742,17524.39957644808,47.459743156773854
Castilla-La Mancha,2016,19.056,100.838,13106,712916.0,954451.0,373571.0,7.694033267205859,18031.102633788494,46.76531085216699
Castilla-La Mancha,2017,20.189,101.582,13604,717183.0,938971.0,374630.0,7.467068509261981,17665.896478280247,46.236872065172854
Castilla-La Mancha,2018,20.708,103.975,14305,720941.0,928083.0,377093.0,7.268437609227543,18110.630572471353,45.80599244762272
Castilla-La Mancha,2019,20.357,107.643,14505,727668.0,923891.0,380581.0,7.421096173733195,18680.471013462324,45.46394441327861
Castilla-La Mancha,2020,19.555,109.03,15802,737400.0,923177.0,383885.0,6.899759524110872,21185.469991521884,45.15500899503145
Castilla-La Mancha,2021,22.661,111.669,15350,745833.0,919381.0,383596.0,7.27485342019544,17758.781955550803,44.87390241164383
Castilla-La Mancha,2022,26.964,118.284,16404,752804.0,910819.0,388850.0,7.210680321872714,15949.58208605626,44.376661714916594
Castilla-Leon,2008,19.492,152.999,15533,852969.0,1140426.0,563055.0,9.849932401982874,20892.134133301646,44.609751804259815
Castilla-Leon,2009,17.685,148.896,16415,864067.0,1131916.0,566578.0,9.070727992689612,24334.346561909435,44.17128021537829
Castilla-Leon,2010,19.013,144.791,16100,875012.0,1113230.0,570184.0,8.993229813664597,22200.312805365847,43.51230014078969
Castilla-Leon,2011,20.101,135.8,15918,885687.0,1096041.0,575539.0,8.531222515391383,20761.307586163555,42.859857809137644
Castilla-Leon,2012,20.498,117.855,15909,895260.0,1072058.0,577468.0,7.408070903262304,20347.696863878886,42.12762880650868
Castilla-Leon,2013,20.052,101.216,15743,899379.0,1040715.0,578440.0,6.429270151813505,20583.236563881273,41.322253342619156
Castilla-Leon,2014,19.386,98.774,15080,899138.0,1010844.0,583363.0,6.550000000000001,20393.74567647841,40.54168195737052
