Renta;Total Nacional;Comunidades y Ciudades Autónomas;Periodo;Total
Media;Total Nacional;10 Comunitat Valenciana;2018;15.038
Media;Total Nacional;10 Comunitat Valenciana;2017;14.365
Media;Total Nacional;10 Comunitat Valenciana;2016;13.589
Media;Total Nacional;10 Comunitat Valenciana;2015;13.305
Media;Total Nacional;10 Comunitat Valenciana;2014;13.446
Media;Total Nacional;10 Comunitat Valenciana;2013;13.881
Media;Total Nacional;10 Comunitat Valenciana;2012;14.864
Media;Total Nacional;10 Comunitat Valenciana;2011;15.344
Media;Total Nacional;10 Comunitat Valenciana;2010;15.780
Media;Total Nacional;10 Comunitat Valenciana;2009;15.703
Media;Total Nacional;10 Comunitat Valenciana;2008;14.796
Media;Total Nacional;11 Extremadura;2023;16.493
Media;Total Nacional;11 Extremadura;2022;14.843
Media;Total Nacional;11 Extremadura;2021;13.908
Media;Total Nacional;11 Extremadura;2020;13.297
Media;Total Nacional;11 Extremadura;2019;12.816
Media;Total Nacional;11 Extremadura;2018;12.376
Media;Total Nacional;11 Extremadura;2017;12.006
Media;Total Nacional;11 Extremadura;2016;12.775
Media;Total Nacional;11 Extremadura;2015;12.421
Media;Total Nacional;11 Extremadura;2014;11.345
Media;Total Nacional;11 Extremadura;2013;12.139
Media;Total Nacional;11 Extremadura;2012;12.281
Media;Total Nacional;11 Extremadura;2011;13.151
Media;Total Nacional;11 Extremadura;2010;13.509
Media;Total Nacional;11 Extremadura;2009;13.833
Media;Total Nacional;11 Extremadura;2008;12.484
Media;Total Nacional;12 Galicia;2023;19.152
Media;Total Nacional;12 Galicia;2022;18.093
Media;Total Nacional;12 Galicia;2021;16.785
Media;Total Nacional;12 Galicia;2020;16.757
Media;Total Nacional;12 Galicia;2019;16.621
Media;Total Nacional;12 Galicia;2018;16.758
Media;Total Nacional;12 Galicia;2017;15.880
Media;Total Nacional;12 Galicia;2016;15.428
Media;Total Nacional;12 Galicia;2015;15.133
Media;Total Nacional;12 Galicia;2014;15.273
Media;Total Nacional;12 Galicia;2013;15.037
Media;Total Nacional;12 Galicia;2012;15.333
Media;Total Nacional;12 Galicia;2011;15.450
Media;Total Nacional;12 Galicia;2010;15.764
Media;Total Nacional;12 Galicia;2009;15.113
Media;Total Nacional;12 Galicia;2008;14.374
Media;Total Nacional;13 Madrid, Comunidad de;2023;24.991
Media;Total Nacional;13 Madrid, Comunidad de;2022;23.338
Media;Total Nacional;13 Madrid, Comunidad de;2021;21.990
Media;Total Nacional;13 Madrid, Comunidad de;2020;21.429
Media;Total Nacional;13 Madrid, Comunidad de;2019;21.030
Media;Total Nacional;13 Madrid, Comunidad de;2018;19.648
Media;Total Nacional;13 Madrid, Comunidad de;2017;19.314
Media;Total Nacional;13 Madrid, Comunidad de;2016;18.709
Media;Total Nacional;13 Madrid, Comunidad de;2015;18.593
Media;Total Nacional;13 Madrid, Comunidad de;2014;18.789
Media;Total Nacional;13 Madrid, Comunidad de;2013;19.124
Media;Total Nacional;13 Madrid, Comunidad de;2012;19.902
Media;Total Nacional;13 Madrid, Comunidad de;2011;19.984
Media;Total Nacional;13 Madrid, Comunidad de;2010;20.128
Media;Total Nacional;13 Madrid, Comunidad de;2009;20.597
Media;Total Nacional;13 Madrid, Comunidad de;2008;18.941
Media;Total Nacional;14 Murcia, Región de;2023;17.069
Media;Total Nacional;14 Murcia, Región de;2022;16.128
Media;Total Nacional;14 Murcia, Región de;2021;14.988
Media;Total Nacional;14 Murcia, Región de;2020;14.921
Media;Total Nacional;14 Murcia, Región de;2019;13.637
Media;Total Nacional;14 Murcia, Región de;2018;14.041
Media;Total Nacional;14 Murcia, Región de;2017;13.324
Media;Total Nacional;14 Murcia, Región de;2016;12.635
Media;Total Nacional;14 Murcia, Región de;2015;11.993
Media;Total Nacional;14 Murcia, Región de;2014;11.715
Media;Total Nacional;14 Murcia, Región de;2013;12.487
Media;Total Nacional;14 Murcia, Región de;2012;12.891
Media;Total Nacional;14 Murcia, Región de;2011;13.022
Media;Total Nacional;14 Murcia, Región de;2010;13.574
Media;Total Nacional;14 Murcia, Región de;2009;14.139
Media;Total Nacional;14 Murcia, Región de;2008;14.147
Media;Total Nacional;15 Navarra, Comunidad Foral de;2023;24.495
Media;Total Nacional;15 Navarra, Comunidad Foral de;2022;23.578
Media;Total Nacional;15 Navarra, Comunidad Foral de;2021;22.786
Media;Total Nacional;15 Navarra, Comunidad Foral de;2020;22.391
Media;Total Nacional;15 Navarra, Comunidad Foral de;2019;20.697
Media;Total Nacional;15 Navarra, Comunidad Foral de;2018;20.094
Media;Total Nacional;15 Navarra, Comunidad Foral de;2017;20.022
Media;Total Nacional;15 Navarra, Comunidad Foral de;2016;19.697
Media;Total Nacional;15 Navarra, Comunidad Foral de;2015;19.715
Media;Total Nacional;15 Navarra, Comunidad Foral de;2014;19.550
Media;Total Nacional;15 Navarra, Comunidad Foral de;2013;20.191
Media;Total Nacional;15 Navarra, Comunidad Foral de;2012;20.918
